iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
AFG,Afghanistan,10405253,2416811546.0,1154426288,0.4776650003640789,734892621.8,3,1175828194.88,5062368.173682875,10497395.995649543
SDN,Sudan,8632772,4162518656.0,1770232060,0.4252790693077917,820078042.0,5,1640156084.0,3401568.782682916,8363003.540976552
VEN,Venezuela,2025085,606497714.0,143911895,0.23728349122845993,407118608.6,5,814237217.2,2718723.4789700494,4263289.240135664
BFA,Burkina Faso,2235030,792565236.0,338563009,0.4271736806281016,321554336.6,5,643108673.2,1813563.2406947964,3093847.24928057
COL,Colombia,1777088,809539590.0,231936658,0.28650440431208557,380650365.8,5,761300731.6,1671194.851035736,2939139.312185581
YEM,Yemen,3413913,2478772922.0,1384559671,0.5585665627986879,731765338.8,0,731765338.8,1007830.6007405726,2514845.9506368157
NGA,Nigeria,1720395,910246471.0,324189433,0.35615566039365615,338615722.2,5,677231444.4,1279989.132513251,2387655.715150307
CMR,Cameroon,1498206,359298328.0,113951363,0.3171497168781704,159157273.20000002,5,318314546.40000004,1327311.390393552,2350361.7816683757
TCD,Chad,2019043,1454258243.0,579851381,0.398726556160906,264331895.8,5,528663791.6,733978.9428193318,1947975.8806885476
NER,Niger,1726417,603027582.0,251802743,0.417564221797072,112658673.6,5,225317347.2,645064.521445028,1650591.5503427924
HTI,Haiti,1246487,908159989.0,303204493,0.33386682596958145,276766636.8,5,553533273.6,759747.2229200391,1590073.5646176934
MLI,Mali,905081,771314315.0,244494817,0.3169846743995669,292269775.8,5,584539551.6,685914.460049506,1304098.6539592715
SOM,Somalia,1295602,1430543255.0,530480862,0.37082476195380754,364294901.2,2,510012861.67999995,461904.0223417301,1277064.719104853
COD,Democratic Republic of the Congo,724394,2538016151.0,797415042,0.3141883244855679,966289155.4,5,1932578310.8,551591.4988649949,1048389.3617375963
MMR,Myanmar,863143,1412961603.0,518131403,0.36669885572255,282649176.6,4,508768517.88000005,310793.99744205,857423.447017121
GTM,Guatemala,488896,100563396.0,43065791,0.4282451937084543,40282261.25,3,64451618.0,313336.0595114349,592864.6972881465
SSD,South Sudan,607417,1694778653.0,917826590,0.5415613350895799,394815636.8,5,789631273.6,283007.7299281933,561471.1684520859
HND,Honduras,312554,138491372.0,28315487,0.20445668629811828,68879151.0,4,123982471.80000001,279809.615078239,528459.859949017
SLV,El Salvador,205912,66923449.0,21594106,0.32266875546118373,48458247.75000001,4,87224845.95000002,268375.92424826167,407846.55547373835
CAF,Central African Republic,421915,326056578.0,154783670,0.47471414608295376,72112560.0,2,100957584.0,130638.42881084276,352264.4098662533
MOZ,Mozambique,313604,682722983.0,220790886,0.3233974708597147,141009424.8,3,225615079.68000004,103634.69988524867,315819.9594337587
UKR,Ukraine,819567,2633534010.0,1872723652,0.7111066896759005,156512200.99999994,2,219117081.39999992,68190.1689402347,304957.59260262595
