iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
YEM,Yemen,4307553,2478772922.0,1384559671,0.5585665627986879,731765338.8,0,731765338.8,1271644.5110674629,3173142.437784286
MLI,Mali,1419149,771314315.0,244494817,0.3169846743995669,292269775.8,5,584539551.6,1075500.22601822,2044800.742328749
COD,Democratic Republic of the Congo,1235850,2538016151.0,797415042,0.3141883244855679,966289155.4,5,1932578310.8,941040.8615647064,1788601.2207492173
SSD,South Sudan,1794234,1694778653.0,917826590,0.5415613350895799,394815636.8,5,789631273.6,835969.5090851622,1658515.7485820448
SOM,Somalia,1675522,1430543255.0,530480862,0.37082476195380754,364294901.2,2,510012861.67999995,597351.9269976893,1651548.8801993218
AFG,Afghanistan,1620733,2416811546.0,1154426288,0.4776650003640789,734892621.8,3,1175828194.88,788519.7176116301,1635085.2885765554
NGA,Nigeria,1153696,910246471.0,324189433,0.35615566039365615,338615722.2,5,677231444.4,858360.0523275222,1601160.6915540025
SDN,Sudan,907146,4162518656.0,1770232060,0.4252790693077917,820078042.0,5,1640156084.0,357442.4894964997,878798.2828902137
GTM,Guatemala,677993,100563396.0,43065791,0.4282451937084543,40282261.25,3,64451618.0,434529.337520324,822175.0939023478
VEN,Venezuela,379095,606497714.0,143911895,0.23728349122845993,407118608.6,5,814237217.2,508943.81088208687,798085.8257748338
TCD,Chad,558465,1454258243.0,579851381,0.398726556160906,264331895.8,5,528663791.6,203017.7417229837,538807.9155365833
HTI,Haiti,351690,908159989.0,303204493,0.33386682596958145,276766636.8,5,553533273.6,214358.83473213002,448631.21070688794
BFA,Burkina Faso,314077,792565236.0,338563009,0.4271736806281016,321554336.6,5,643108673.2,254850.4950482542,434762.06695762195
CAF,Central African Republic,387368,326056578.0,154783670,0.47471414608295376,72112560.0,2,100957584.0,119941.56854247546,323420.49920261384
HND,Honduras,138760,138491372.0,28315487,0.20445668629811828,68879151.0,4,123982471.80000001,124222.95727540343,234612.54748467653
CMR,Cameroon,144904,359298328.0,113951363,0.3171497168781704,159157273.20000002,5,318314546.40000004,128375.35673571407,227323.09416119967
SLV,El Salvador,77593,66923449.0,21594106,0.32266875546118373,48458247.75000001,4,87224845.95000002,101131.03214089207,153687.19539839245
MMR,Myanmar,134442,1412961603.0,518131403,0.36669885572255,282649176.6,4,508768517.88000005,48408.857633212676,133551.1300721616
NER,Niger,136184,603027582.0,251802743,0.417564221797072,112658673.6,5,225317347.2,50884.26885768021,130202.70287646775
MOZ,Mozambique,62751,682722983.0,220790886,0.3233974708597147,141009424.8,3,225615079.68000004,20736.919977102458,63194.4052831845
