iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
YEM,Yemen,9770108,2478772922.0,1384559671,0.5585665627986879,731765338.8,0,731765338.8,2884260.3238396156,7197112.680107653
SDN,Sudan,7322448,4162518656.0,1770232060,0.4252790693077917,820078042.0,5,1640156084.0,2885262.1764618545,7093626.305967154
COD,Democratic Republic of the Congo,4177045,2538016151.0,797415042,0.3141883244855679,966289155.4,5,1932578310.8,3180620.6461905157,6045286.876339696
VEN,Venezuela,2457941,606497714.0,143911895,0.23728349122845993,407118608.6,5,814237217.2,3299842.676541045,5174554.854827473
COL,Colombia,3042324,809539590.0,231936658,0.28650440431208557,380650365.8,5,761300731.6,2861037.947463741,5031722.72211938
AFG,Afghanistan,4734915,2416811546.0,1154426288,0.4776650003640789,734892621.8,3,1175828194.88,2303632.8863021065,4776844.711103224
MLI,Mali,3215767,771314315.0,244494817,0.3169846743995669,292269775.8,5,584539551.6,2437064.8433123883,4633482.987872517
SSD,South Sudan,3716078,1694778653.0,917826590,0.5415613350895799,394815636.8,5,789631273.6,1731395.0696409564,3434988.9066639403
SOM,Somalia,2989870,1430543255.0,530480862,0.37082476195380754,364294901.2,2,510012861.67999995,1065939.2153445801,2947091.3843217497
NGA,Nigeria,1866732,910246471.0,324189433,0.35615566039365615,338615722.2,5,677231444.4,1388865.1578938127,2590749.989655842
UKR,Ukraine,6354433,2633534010.0,1872723652,0.7111066896759005,156512200.99999994,2,219117081.39999992,528705.8407542061,2364459.0253569046
HTI,Haiti,1657089,908159989.0,303204493,0.33386682596958145,276766636.8,5,553533273.6,1010013.5547994842,2113855.5100203766
BFA,Burkina Faso,1184996,792565236.0,338563009,0.4271736806281016,321554336.6,5,643108673.2,961537.5122349011,1640334.409385323
CMR,Cameroon,803917,359298328.0,113951363,0.3171497168781704,159157273.20000002,5,318314546.40000004,712217.2725453062,1261172.223601758
TCD,Chad,1292156,1454258243.0,579851381,0.398726556160906,264331895.8,5,528663791.6,469735.064997455,1246674.1530948034
CAF,Central African Republic,1220169,326056578.0,154783670,0.47471414608295376,72112560.0,2,100957584.0,377803.4936982501,1018741.0087863584
MMR,Myanmar,978586,1412961603.0,518131403,0.36669885572255,282649176.6,4,508768517.88000005,352361.83897781244,972101.4725517051
HND,Honduras,469701,138491372.0,28315487,0.20445668629811828,68879151.0,4,123982471.80000001,420493.27799952624,794160.7679886138
GTM,Guatemala,614399,100563396.0,43065791,0.4282451937084543,40282261.25,3,64451618.0,393771.6030152959,745057.1842460153
SLV,El Salvador,244497,66923449.0,21594106,0.32266875546118373,48458247.75000001,4,87224845.95000002,318665.78126057365,484271.2385565806
NER,Niger,502347,603027582.0,251802743,0.417564221797072,112658673.6,5,225317347.2,187698.7003454817,480283.566218388
MOZ,Mozambique,264663,682722983.0,220790886,0.3233974708597147,141009424.8,3,225615079.68000004,87461.48191901114,266533.1370888665
