iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
TCD,Chad,1578000,1454258243.0,579851381,0.398726556160906,0.0,0,0.0,0.0,948809.4943780903
SDN,Sudan,892161,4162518656.0,1770232060,0.4252790693077917,0.0,0,0.0,0.0,512743.60024729127
COD,Democratic Republic of the Congo,676351,2538016151.0,797415042,0.3141883244855679,0.0,0,0.0,0.0,463849.4125458617
CMR,Cameroon,567971,359298328.0,113951363,0.3171497168781704,0.0,0,0.0,0.0,387839.15815498866
SSD,South Sudan,680000,1694778653.0,917826590,0.5415613350895799,0.0,0,0.0,0.0,311738.29213908565
MLI,Mali,279195,771314315.0,244494817,0.3169846743995669,0.0,0,0.0,0.0,190694.46383101292
YEM,Yemen,192522,2478772922.0,1384559671,0.5585665627986879,0.0,0,0.0,0.0,84985.64819687101
CAF,Central African Republic,72000,326056578.0,154783670,0.47471414608295376,0.0,0,0.0,0.0,37820.58148202732
SOM,Somalia,47923,1430543255.0,530480862,0.37082476195380754,0.0,0,0.0,0.0,30151.96493288768
BFA,Burkina Faso,40850,792565236.0,338563009,0.4271736806281016,0.0,0,0.0,0.0,23399.955146342047
