iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
MMR,Myanmar,3819313,1412961603.0,518131403,0.36669885572255,0.0,0,0.0,0.0,2418775.2932537403
SDN,Sudan,3126814,4162518656.0,1770232060,0.4252790693077917,0.0,0,0.0,0.0,1797045.4521814266
YEM,Yemen,2549048,2478772922.0,1384559671,0.5585665627986879,0.0,0,0.0,0.0,1125235.0202311303
UKR,Ukraine,2717961,2633534010.0,1872723652,0.7111066896759005,0.0,0,0.0,0.0,785200.7506217997
SOM,Somalia,883251,1430543255.0,530480862,0.37082476195380754,0.0,0,0.0,0.0,555719.6581795375
AFG,Afghanistan,904043,2416811546.0,1154426288,0.4776650003640789,0.0,0,0.0,0.0,472213.300075857
MLI,Mali,672422,771314315.0,244494817,0.3169846743995669,0.0,0,0.0,0.0,459274.5312708944
SSD,South Sudan,952481,1694778653.0,917826590,0.5415613350895799,0.0,0,0.0,0.0,436654.1179925418
COD,Democratic Republic of the Congo,475869,2538016151.0,797415042,0.3141883244855679,0.0,0,0.0,0.0,326356.5162153773
NGA,Nigeria,433026,910246471.0,324189433,0.35615566039365615,0.0,0,0.0,0.0,278801.33900237666
BFA,Burkina Faso,382479,792565236.0,338563009,0.4271736806281016,0.0,0,0.0,0.0,219094.0378070443
COL,Colombia,231358,809539590.0,231936658,0.28650440431208557,0.0,0,0.0,0.0,165072.91402716452
CAF,Central African Republic,257761,326056578.0,154783670,0.47471414608295376,0.0,0,0.0,0.0,135398.20699151175
NER,Niger,130964,603027582.0,251802743,0.417564221797072,0.0,0,0.0,0.0,76278.11925656827
